PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
224595063,20068970,0,2020-04-11T14:55:00,"2000 Block 5th Ave Pittsburgh, PA 15219",N,West Oakland,4,99,9999 9999 - (Misc. Incident): ,402,6,3,-79.9775329065649,40.4380106868591
223462378,20052991,0,2020-03-16T15:33:00,"100 Block Pearl St Pittsburgh, PA 15224",N,Bloomfield,5,99,9998 Overdose Other,903,7,2,-79.9480832524022,40.4656689287953
223468321,20039770,8,2020-03-17T10:15:00,"3800 Block O Hara St Pittsburgh, PA 15213",Y,North Oakland,4,POSSESSION INCENDIARY/EXPLOSIVE MATERIAL,"3301(f) Possession Incendiary/Explosive Material / 3301 Arson  / 3304(a)(1) CRIMINAL MISCHIEF-Prop Damage By Fire, Explosives, or Other Dangerous Means",403,,,0,0
224352963,20064426,10,2020-04-03T00:01:00,"3200 Block Dobson St Pittsburgh, PA 15219",N,Polish Hill,2,HARRASSMENT,2709 Harassment (Non-Specific),605,7,6,-79.9655871974467,40.4575563545914
224353739,20064457,11,2020-04-03T15:00:00,"1600 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,THEFT BY DECEPTION,3922 Theft by Deception.,305,,,0,0
224354693,20064475,6,2020-04-03T18:45:00,"1400 Block Methyl St Pittsburgh, PA 15216",N,Beechview,6,THEFT,3921 Theft by Unlawful Taking or Disposition.,1916,4,5,-80.0260254093828,40.4142213461431
224362596,20064586,0,2020-04-04T02:00:00,"800 Block Crucible St Pittsburgh, PA 15220",N,Elliott,6,99,9997 Overdose Death,2020,2,5,-80.0398303428833,40.44195966402
224367806,20064734,10,2020-04-04T11:25:00,"7300 Block Kelly St Pittsburgh, PA 15208",N,Homewood South,5,SIMPLE ASSAULT,2701 Simple Assault. / 2706 Terroristic Threats. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,1303,9,2,-79.8948371053259,40.455034841235
224373381,20056657,10,2020-04-04T15:34:00,"800 Block Excelsior St Pittsburgh, PA 15210",Y,Allentown,3,TERRORISTIC THREATS,2706 Terroristic Threats.,1803,3,5,-79.9937233914761,40.4227885866191
224379274,20064905,0,2020-04-04T18:44:00,"300 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,99,9992 Governor's Order Violation,201,6,6,-80.006260044902,40.4405702014184
224384949,20065237,0,2020-04-05T06:00:00,"100 Block HAMBURG St Pittsburgh, PA 15220",Y,Ridgemont,6,99,9998 Overdose Other,2016,,,0,0
224390965,20065388,99,2020-04-05T13:40:00,"600 Block Commonwealth Pl & E Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,FOUND PROPERTY,9489 Found Property,201,,,0,0
224406550,20065385,6,2020-04-05T14:12:00,"2500 Block Park Hill Dr Pittsburgh, PA 15221",N,East Hills,5,THEFT FROM AUTO,3934 Theft from Vehicle,1306,9,2,-79.8732271471488,40.4561140005372
224431216,20066231,6,2020-04-06T18:00:00,"2400 Block Bedford Ave Pittsburgh, PA 15219",N,Bedford Dwellings,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,509,6,3,-79.9742739984904,40.4496143418734
224432265,20066298,10,2020-04-07T02:33:00,"Pressley St & Cedar Ave Pittsburgh, PA 15212",N,East Allegheny,1,SIMPLE ASSAULT,2701 Simple Assault.,2304,1,1,-80.001149033488,40.4516250056375
-3354005269,20066423,0,2020-04-07T09:45:00,"6500 Block Wilkins Ave Pittsburgh, PA 15217",N,Point Breeze,4,99,9999 9999 - (Misc. Incident): ,1404,,,0,0
-3455002810,20066528,99,2020-04-07T14:00:00,"20 Block Wheeling St Pittsburgh, PA 15207",Y,Hays,4,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),3101,5,3,-79.9318177057205,40.3824740458095
224466524,20066533,23,2020-04-07T13:30:00,"Brownell St & S Graham St Pittsburgh, PA 15232",N,Shadyside,4,PUBLIC DRUNKENESS,5505 Public Drunkenness / 627.02(b)(i) Possessing a small amount of marijuana,709,8,2,-79.9352455333397,40.4544844704355
224478192,20066697,99,2020-04-07T19:00:00,"1600 Block Lowrie St Pittsburgh, PA 15212",N,Troy Hill,1,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2406,1,1,-79.9835621773248,40.462751295377
223887867,20058011,10,2020-03-24T16:45:00,"2500 Block Brownsville Rd Pittsburgh, PA 15210",Y,Carrick,3,SIMPLE ASSAULT,2701 Simple Assault. / 3304 Criminal Mischief.,2904,4,3,-79.9811511391941,40.3866924905732
223893456,20058109,4,2020-03-24T19:33:00,"3200 Block Brighton Rd Pittsburgh, PA 15212",Y,Brighton Heights,1,AGG-ASSAULT,2702 Aggravated Assault.,2715,1,1,-80.0311081190629,40.4757891815702
223910980,20058374,99,2020-03-25T07:25:00,"1700 Block Belleau Dr Pittsburgh, PA 15212",N,Fineview,1,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,2509,6,1,-80.0069833937371,40.460310552493
223950974,20057259,21,2020-03-23T12:30:00,"Market St & Forbes Ave Pittsburgh, PA 15222",Y,Central Business District,2,DUI - DRUG - IMPAIRED ABILITY,3802(d)(2) DUI - Drug - Impaired Ability / 3743 Accidents Involving Damage to Attended Veh. or Property / 1543 Driving While Operating Privilege is Suspended or Revoked.,201,6,6,-80.0029611319642,40.4407983579103
223968375,20058639,0,2020-03-25T16:00:00,"1400 Block Rockland Ave Pittsburgh, PA 15216",N,Beechview,6,99,9999 9999 - (Misc. Incident): ,1916,4,5,-80.0203864894071,40.4129931632341
223969245,20058632,6,2020-03-25T16:24:00,"500 Block Penn Ave Pittsburgh, PA 15222",N,Central Business District,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,201,7,2,-79.9435820869511,40.464893357809
223971077,20058732,10,2020-03-25T18:30:00,"5100 Block Carnegie St Pittsburgh, PA 15201",Y,Upper Lawrenceville,2,HARRASSMENT,2709(a) Harassment.,1011,7,2,-79.9546531451861,40.4778454691012
223718806,20055804,6,2020-03-20T23:00:00,"Wheeler St & Conemaugh St Pittsburgh, PA 15221",N,East Hills,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1306,9,2,-79.884555911443,40.4547438749046
224090241,20060366,13,2020-03-28T04:31:00,"4600 Block Mt Troy Rd Pittsburgh, PA 15214",N,Summer Hill,1,RECEIVING STOLEN PROPERTY,"3925 Receiving Stolen Property. / 6106 Firearms not to be Carried without a License. / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",2612,,,0,0
224430224,20066158,10,2020-04-06T20:18:00,"900 Block Brookline Blvd Pittsburgh, PA 15226",Y,Brookline,6,SIMPLE ASSAULT,2701 Simple Assault.,1918,4,5,-80.0191898061447,40.3928794375987
223608470,20054448,99,2020-03-18T18:00:00,"800 Block E Warrington Ave Pittsburgh, PA 15210",N,Allentown,3,DRUG INVESTIGATION,9124 Drug Investigation,1803,3,5,-79.9937050598573,40.4218022561637
223977896,20058861,99,2020-03-25T21:58:00,"200 Block Spencer Ave Pittsburgh, PA 15227",Y,Carrick,3,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,2904,,,0,0
224100189,20060237,14,2020-03-27T23:30:00,"1500 Block 5th Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,CRIM MISCHIEF,3304 Criminal Mischief.,305,6,3,-79.9850250905646,40.438539598023
224043275,20059637,0,2020-03-27T01:12:00,"2500 Block Mission St Pittsburgh, PA 15203",N,South Side Slopes,3,99,9998 Overdose Other,1608,3,3,-79.9720659259588,40.4228263916134
224043015,20059598,99,2020-03-26T22:58:00,"3000 Block Allendale St Pittsburgh, PA 15204",Y,Sheraden,6,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,2022,,,0,0
224044067,20059645,99,2020-03-27T01:01:00,"3400 Block Fleming Ave Pittsburgh, PA 15212",N,Brighton Heights,1,MENTAL 201/302,9498 302 (Mental),2703,1,1,-80.038226953709,40.4769999999468
224046093,20059695,4,2020-03-27T02:56:00,"Mayfield Ave & Marshall Ave Pittsburgh, PA 15214",N,Perry South,1,AGG-ASSAULT,2702 Aggravated Assault. / 3112 Traffic-Control Signals. / 3308 One-Way Roadways and Rotary Traffic Islands. / 3323 Stop Signs and Yield Signs. / 3362 Maximum Speed Limits. / 3111 Obedience to Traffic-Control Devices. / 3323 Stop Signs and Yield Signs. / 3334 Turning Movements and Required Signals. / 3361  Driving Vehicle at Safe Speed. / 3736 Reckless Driving / 3733 Fleeing or Attempting to Elude Police Officer,2615,6,1,-80.0155849800679,40.4733663449493
223633766,20054660,99,2020-03-19T09:34:00,"1500 Block Brighton Rd Pittsburgh, PA 15212",N,California-Kirkbride,1,FOUND PROPERTY,9489 Found Property,2507,6,1,-80.0165685056208,40.4568744092444
223416692,20052982,14,2020-03-15T10:00:00,"1300 Block Bingham St Pittsburgh, PA 15203",N,South Side Flats,3,CRIM MISCHIEF,3304 Criminal Mischief.,1702,3,3,-79.9851220318653,40.4292338469744
223418167,20052989,0,2020-03-16T14:30:00,"1800 Block Forbes Ave Pittsburgh, PA 15219",N,Bluff,2,99,9999 9999 - (Misc. Incident): ,103,6,3,-79.9813236408135,40.4373720231649
223418651,20052995,11,2020-03-16T12:15:00,"1300 Block Squirrel Hill Ave Pittsburgh, PA 15217",N,Squirrel Hill North,4,IDENTITY THEFT,4120 Identity Theft,1401,8,3,-79.9342477430556,40.4424930614225
223418820,20053002,14,2020-03-16T15:10:00,"4900 Block 2nd Ave Pittsburgh, PA 15207",N,Hazelwood,4,CRIM MISCHIEF,3304 Criminal Mischief.,1515,5,3,-79.9443669504557,40.4097751007678
223423186,20053069,6,2020-03-16T17:30:00,"2300 Block Reed St Pittsburgh, PA 15219",N,Middle Hill,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,501,6,3,-79.9740404719758,40.4435105818344
223424931,20053107,6,2020-03-16T16:30:00,"Liverpool St Pittsburgh, PA 15233",N,Manchester,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2107,6,1,-80.033339570755,40.4537261165021
223425680,20053122,27,2020-03-16T17:30:00,"200 Block Lothrop St Pittsburgh, PA 15213",N,West Oakland,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,402,8,3,-79.9609286975283,40.4422470230786
223433074,20053195,6,2020-03-16T17:36:00,"400 Block East Ohio St Pittsburgh, PA 15212",N,East Allegheny,1,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,2304,1,1,-80.0015589134548,40.4534470594398
223989172,20057306,27,2020-03-23T13:35:00,"5500 Block Bryant St Pittsburgh, PA 15206",N,Highland Park,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1102,7,2,-79.9260673640034,40.4778449694821
224013228,20059174,10,2020-03-26T12:16:00,"3200 Block Brighton Rd Pittsburgh, PA 15212",N,Marshall-Shadeland,1,SIMPLE ASSAULT,2701(a)(3) Simple Assault - Attempts by Physical Menace ,2715,1,1,-80.0311081190629,40.4757891815702
223336673,20052153,3,2020-03-15T02:03:00,"2300 Block East Hills Dr Pittsburgh, PA 15221",Y,East Hills,5,ROBBERY,3701 Robbery. / 2702 Aggravated Assault. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3503 Criminal Trespass / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,1306,9,2,-79.871328586779,40.4566162367709
223354291,20052365,27,2020-03-15T12:23:00,"1100 Block Herron Ave Pittsburgh, PA 15219",N,Polish Hill,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,605,7,6,-79.9639094659188,40.4581563459901
223361757,20052476,99,2020-03-15T16:45:00,"Forbes Ave & Craft Ave Pittsburgh, PA 15213",N,South Oakland,4,MENTAL 201/302,9498 302 (Mental),409,6,3,-79.9631148015563,40.4371166156521
223363244,20052479,14,2020-03-15T16:46:00,"200 Block McKinley St Pittsburgh, PA 15210",N,Bluff,3,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,103,3,5,-79.9911514567107,40.4087545800782
223366587,20052136,0,2020-03-15T01:25:00,"80 Block S 17th St Pittsburgh, PA 15203",N,South Side Flats,3,99,9999 9999 - (Misc. Incident): ,1702,3,3,-79.9821410817211,40.4293745613602
223368249,20052570,99,2020-03-15T04:30:00,"2100 Block Sidney St Pittsburgh, PA 15203",N,South Side Flats,3,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,1609,3,3,-79.9760022588242,40.4292402150964
223368590,20052559,3,2020-03-15T20:10:00,"200 Block Sprucewood St Pittsburgh, PA 15210",Y,Carrick,3,ROBBERY,"3701 Robbery. / 3502 Burglary. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2701 Simple Assault. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another",2902,4,3,-79.9853686091482,40.3986015791041
223372554,20052727,27,2020-03-16T03:31:00,"50 Block Alexander St Pittsburgh, PA 15220",N,West End,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 9999 9999 - (Misc. Incident): ,2019,2,5,-80.0337024095637,40.4402903490486
223435994,20053053,6,2020-03-16T17:48:00,"500 Block Elmer L Williams Sq Pittsburgh, PA 15206",N,Larimer,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1204,,,0,0
223451790,20053370,0,2020-03-17T04:32:00,"3300 Block Motor St Pittsburgh, PA 15204",N,Sheraden,6,99,8106 Shots Fired,2018,2,5,-80.0569724104552,40.4594670130836
223385657,20052789,27,2020-03-16T07:52:00,"600 Block Armandale St Pittsburgh, PA 15212",N,Central North Side,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2503,6,1,-80.0140262849595,40.45841765019
223400860,20052896,99,2020-03-16T09:45:00,"3400 Block Forbes Ave Pittsburgh, PA 15213",N,Central Oakland,4,FOUND PROPERTY,9489 Found Property,405,3,3,-79.9609006805401,40.4384190708353
-3249024144,20053065,27,2020-03-16T17:09:00,"500 Block Brookline Blvd Pittsburgh, PA 15226",N,Brookline,6,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1919,4,5,-80.0236345649749,40.3962210607594
223424682,20053041,18,2020-03-16T17:16:00,"5100 Block Hillcrest St Pittsburgh, PA 15224",Y,Garfield,5,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 3353 Prohibitions in Specified Places.,1016,9,2,-79.9422311392422,40.4687496271047
223362985,20052474,99,2020-03-15T16:33:00,"Wagner St & Becks Run Rd Pittsburgh, PA 15210",N,St. Clair,3,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,1606,3,3,-79.9758954781239,40.4043832696765
223441039,20053242,11,2020-03-16T22:50:00,"7000 Block Kelly St Pittsburgh, PA 15208",N,Homewood South,5,THEFT OF SERVICES,"3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc.",1303,9,2,-79.9018146354302,40.4566120579776
223448868,20053298,99,2020-03-17T01:14:00,"N Braddock Ave & Formosa Way Pittsburgh, PA 15208",N,Homewood South,5,DRUG INVESTIGATION,9124 Drug Investigation,1303,9,2,-79.8909307465801,40.4536395435277
223479316,20053507,0,2020-03-17T11:45:00,"2800 Block Brighton Rd Pittsburgh, PA 15212",N,Marshall-Shadeland,1,99,9998 Overdose Other,2715,1,1,-80.0174235731547,40.4725047461499
224079503,20059976,6,2020-03-27T15:00:00,"1400 Block Boyle St Pittsburgh, PA 15212",N,Central North Side,1,THEFT FROM AUTO,3934 Theft from Vehicle,2206,6,1,-80.0062139712488,40.457590439325
224081582,20059997,10,2020-03-26T14:00:00,"5800 Block Kentucky Ave Pittsburgh, PA 15232",N,Shadyside,4,HARRASSMENT,2709 Harassment (Non-Specific),706,8,2,-79.9278715004526,40.4512163514023
224094200,20060442,10,2020-03-28T10:43:00,"7200 Block Frankstown Ave Pittsburgh, PA 15208",Y,Homewood South,5,TERRORISTIC THREATS,2706 Terroristic Threats.,1303,9,2,-79.8962697960688,40.4573889155008
223500253,20053627,10,2020-03-17T00:01:00,"2900 Block Stayton St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,HARRASSMENT,2709 Harassment (Non-Specific),2715,1,1,-80.0274849065856,40.4713604734435
223507036,20053662,14,2020-03-17T14:59:00,"900 Block Greenfield Ave Pittsburgh, PA 15217",N,Greenfield,4,CRIM MISCHIEF,3304 Criminal Mischief.,1517,5,3,-79.9333422903437,40.4241980909446
223507688,20053674,6,2020-03-17T00:01:00,"37th St & Penn Ave Pittsburgh, PA 15201",N,Lower Lawrenceville,2,THEFT,3921 Theft by Unlawful Taking or Disposition. / 3304 Criminal Mischief.,603,7,2,-79.9625316265336,40.4644249984057
223507737,20053675,10,2020-03-17T16:00:00,"2500 Block Beechwood Blvd Pittsburgh, PA 15217",N,Squirrel Hill South,4,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1408,5,3,-79.9155918665666,40.4301779607679
223515030,20053730,10,2020-03-17T17:30:00,"2600 Block Perrysville Ave Pittsburgh, PA 15214",N,Perry South,1,HARRASSMENT,2709 Harassment (Non-Specific),2615,6,1,-80.0085176085982,40.4711339361923
223515573,20053746,0,2020-03-17T18:35:00,"1000 Block Sheffield St Pittsburgh, PA 15233",N,Manchester,1,99,9999 9999 - (Misc. Incident): ,2107,,,0,0
223521310,20053748,17,2020-03-17T18:47:00,"6th Ave & Smithfield St Pittsburgh, PA 15222",Y,Central Business District,2,OPEN LEWDNESS,"5901 Open Lewdness. / 5505 Public Drunkenness / 5507 Obstructing Highways and Passages. / 601.11(a) Littering and Dumping; Any waste, dangerous or detrimental substance upon public property",201,6,6,-79.9977344808488,40.4414644213446
223517809,20053716,0,2020-03-17T18:12:00,"3200 Block Joe Hammer Sq Pittsburgh, PA 15213",Y,South Oakland,4,99,627.02(b)(i) Possessing a small amount of marijuana,409,3,3,-79.9618413543841,40.4346436405558
223520419,20053764,10,2020-03-17T19:16:00,"700 Block Mt Pleasant Rd Pittsburgh, PA 15214",Y,Northview Heights,1,HARRASSMENT,2709 Harassment (Non-Specific),2609,1,1,-79.9982412589835,40.4759997700279
223554561,20054063,14,2020-03-18T09:00:00,"5400 Block Albemarle Ave Pittsburgh, PA 15217",N,Squirrel Hill North,4,CRIM MISCHIEF,3304 Criminal Mischief.,1401,8,3,-79.9343294215952,40.4395993230407
223555078,20054064,99,2020-03-18T09:36:00,"California Ave & Columbus Ave Pittsburgh, PA 15233",N,Manchester,1,FOUND PROPERTY,9489 Found Property,2107,6,1,-80.0234459742867,40.4588118756444
223555213,20054073,0,2020-03-18T06:30:00,"300 Block Belonda St Pittsburgh, PA 15211",Y,Mount Washington,3,99,9999 9999 - (Misc. Incident): ,1914,2,5,-80.0112216183909,40.4298984926202
223555486,20054087,6,2020-03-17T22:25:00,"1900 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake. / 4106 Access Device Fraud",2902,4,3,-79.9875088066487,40.3960603966568
223555771,20054101,10,2020-03-18T10:07:00,"300 Block Mc Kinley St Pittsburgh, PA 15210",N,Knoxville,3,HARRASSMENT,2709 Harassment (Non-Specific),3001,3,5,-79.9939695690564,40.4091024532724
223482224,20053128,27,2020-03-16T18:45:00,"Railroad St & 21st St Pittsburgh, PA 15222",N,Strip District,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,203,7,6,-79.9847301503252,40.4530509115795
223491987,20053546,0,2020-03-17T12:00:00,"1300 Block Shady Ave Pittsburgh, PA 15217",N,Squirrel Hill North,4,99,9999 9999 - (Misc. Incident): ,1402,8,3,-79.9213525187922,40.4454967234394
223496636,20053583,10,2020-03-17T13:42:00,"1500 Block 5th Ave Pittsburgh, PA 15219",Y,Bluff,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 5505 Public Drunkenness / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF",103,6,3,-79.9850250905646,40.438539598023
223508004,20053643,27,2020-03-17T14:50:00,"500 Block Avery St Pittsburgh, PA 15212",Y,East Allegheny,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2304,1,1,-80.000291224101,40.4530957954731
223528526,20053825,0,2020-03-17T21:15:00,"Centre Ave & Melwood Ave Pittsburgh, PA 15213",Y,North Oakland,4,AGRICULTURAL VANDALISM,3309 Driving on Roadways Laned for Traffic. / 5104 Resisting Arrest or Other Law Enforcement. / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 5121 Escape. / 3112 Traffic-Control Signals.,507,8,3,-79.9508652017514,40.4522413069419
224136986,20061479,6,2020-03-29T23:53:00,"600 Block Danbury St Pittsburgh, PA 15214",N,Perry South,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2615,,,0,0
224139846,20061602,6,2020-03-30T04:30:00,"5700 Block Centre Ave Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1115,8,2,-79.9334617427204,40.4570157923201
